threshold,accuracy,precision_malignant,recall_malignant,specificity_benign,f1_malignant
0.05,0.8640429338103757,0.7174721189591078,1.0,0.7923497267759563,0.8354978354978355
0.1,0.8944543828264758,0.7658730158730159,1.0,0.8387978142076503,0.8674157303370786
0.15,0.9302325581395349,0.8318965517241379,1.0,0.8934426229508197,0.908235294117647
0.2,0.9445438282647585,0.8616071428571429,1.0,0.9153005464480874,0.9256594724220624
0.25,0.9552772808586762,0.8853211009174312,1.0,0.9316939890710383,0.9391727493917275
0.3,0.960644007155635,0.8976744186046511,1.0,0.9398907103825137,0.946078431372549
0.35,0.9660107334525939,0.9142857142857143,0.9948186528497409,0.9508196721311475,0.9528535980148883
0.4,0.9677996422182469,0.9227053140096618,0.9896373056994818,0.9562841530054644,0.955
0.45,0.9695885509838998,0.9271844660194175,0.9896373056994818,0.9590163934426229,0.9573934837092731
0.5,0.9731663685152058,0.9405940594059405,0.9844559585492227,0.9672131147540983,0.9620253164556962
0.55,0.9695885509838998,0.94,0.9740932642487047,0.9672131147540983,0.9567430025445293
0.6,0.9660107334525939,0.9438775510204082,0.9585492227979274,0.9699453551912568,0.9511568123393316
0.65,0.9588550983899821,0.9473684210526315,0.9326424870466321,0.9726775956284153,0.9399477806788512
0.7,0.9499105545617174,0.9508196721311475,0.9015544041450777,0.9754098360655737,0.925531914893617
0.75,0.9427549194991055,0.9548022598870056,0.8756476683937824,0.9781420765027322,0.9135135135135135
0.8,0.9373881932021467,0.9540229885057471,0.8601036269430051,0.9781420765027322,0.9046321525885559
0.85,0.9230769230769231,0.9518072289156626,0.8186528497409327,0.9781420765027322,0.8802228412256268
0.9,0.9016100178890877,0.9539473684210527,0.7512953367875648,0.9808743169398907,0.8405797101449275
0.95,0.8443649373881932,0.9732142857142857,0.5647668393782384,0.9918032786885246,0.7147540983606557
